content_no,push_type,delivery_scene,source_image,bucket,endpoint,object_key,object_url,access,size_bytes,width,height,sha256,status,note
AM-0700-01,greeting,GREETING_0700,图片和附件/image 31.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0700-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0700-01/v1.png,private-signed-url,2719758,1254,1254,142f7e862417f84ec69bbfde5ce9ad4379ad19baeb684e05b98d9171fda07dcc,UPLOADED_VERIFIED_PRIVATE,
AM-0700-02,greeting,GREETING_0700,图片和附件/image 58.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0700-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0700-02/v1.png,private-signed-url,2695403,1254,1254,61f7797ae1cad0ca471ab886fb2afb879f1593d0306c450b7b80705b3e0466fc,UPLOADED_VERIFIED_PRIVATE,
AM-0700-03,greeting,GREETING_0700,图片和附件/image 41.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0700-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0700-03/v1.png,private-signed-url,2520838,1254,1254,221d40c01d1ae117b63214d415d93c12bed297dadcb44a91ba74e391ffe005ee,UPLOADED_VERIFIED_PRIVATE,
AM-0700-04,greeting,GREETING_0700,图片和附件/image 21.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0700-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0700-04/v1.png,private-signed-url,2464678,1254,1254,15cedfcfc86be032a398bd6953005fb2da34f88a6dc7f38abcda9c3714eb6db4,UPLOADED_VERIFIED_PRIVATE,
AM-0730-01,greeting,GREETING_0730,图片和附件/image 15.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0730-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0730-01/v1.png,private-signed-url,2908408,1254,1254,2e34676548e83e101d065ac8199c495c8455a5f469c1e56b1e125d6992572f5e,UPLOADED_VERIFIED_PRIVATE,
AM-0730-02,greeting,GREETING_0730,图片和附件/image 95.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0730-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0730-02/v1.png,private-signed-url,2740497,1254,1254,ee688dbf5ed0e40b434aa2df17635a3809b95f20d74219b19cae0d95802ccc5e,UPLOADED_VERIFIED_PRIVATE,
AM-0730-03,greeting,GREETING_0730,图片和附件/image 47.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0730-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0730-03/v1.png,private-signed-url,2981033,1254,1254,9cb6db8191fac4800c6e66f71a2284074ad96e0b8212db36fd6d71195e5c8153,UPLOADED_VERIFIED_PRIVATE,
AM-0730-04,greeting,GREETING_0730,图片和附件/image 107.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0730-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0730-04/v1.png,private-signed-url,2836395,1254,1254,74c080f178b52664a3bfb0c0ed197c90ea9f5eae15a8acf7e618e7d95aa95ea9,UPLOADED_VERIFIED_PRIVATE,
AM-0800-01,greeting,GREETING_0800,图片和附件/image 81.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0800-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0800-01/v1.png,private-signed-url,2782213,1254,1254,a0b9e65533f73e19868feab231c93eeed8e190182bd360779745a6934996f449,UPLOADED_VERIFIED_PRIVATE,
AM-0800-02,greeting,GREETING_0800,图片和附件/image 48.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/am-0800-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/am-0800-02/v1.png,private-signed-url,2917523,1254,1254,d2032d36fcbe168611dd8a0debc2e506707d44a71ca3ea9b933f4964ec7e9d8a,UPLOADED_VERIFIED_PRIVATE,
